Price,PriceTarget,MACD,TradePrice,trade_volume,b1,a1,bq1,aq1,Spread
282.67,282.695,-0.0236714575,282.71,3.526e-05,282.64,282.7,29.87,4,0.06
282.67,282.695,-0.0257850965,282.69,5.134535,282.64,282.7,29.87,4,0.06
282.67,282.695,-0.0282232919,282.69,3.874877,282.64,282.7,29.87,4,0.06
282.695,282.695,-0.0289855061,282.69,3.874877,282.69,282.7,41.178408,4,0.01
282.695,282.695,-0.0303034573,282.69,3.874877,282.69,282.7,41.2450189,4,0.01
282.695,282.695,-0.0319366861,282.7,1.57870922,282.69,282.7,41.2450189,4,0.01
282.695,282.695,-0.0337037165,282.7,1.57870922,282.69,282.7,65.42128928,2.42129078,0.01
282.695,282.695,-0.0354703016,282.7,0.00352673,282.69,282.7,65.42128928,2.42129078,0.01
282.695,282.695,-0.037139781,282.7,0.00352673,282.69,282.7,65.42128928,2.41776405,0.01
282.695,282.695,-0.0386451927,282.7,0.2535,282.69,282.7,65.42128928,2.41776405,0.01
282.695,282.695,-0.0399428397,282.7,0.2535,282.69,282.7,67.29032975,2.16426405,0.01
282.695,282.695,-0.0410070606,282.7,2.16426405,282.69,282.7,67.29032975,2.16426405,0.01
282.695,282.695,-0.0418259964,282.72,0.11453941,282.69,282.7,67.29032975,2.16426405,0.01
282.695,282.695,-0.0423981786,282.79,0.10122639,282.69,282.7,67.29032975,2.16426405,0.01
282.695,282.79,-0.0427297932,282.79,0.05,282.69,282.7,67.29032975,2.16426405,0.01
282.695,282.79,-0.0428325003,282.82,0.37,282.69,282.7,67.29032975,2.16426405,0.01
282.695,282.79,-0.0427217092,282.83,5.13802675,282.69,282.7,67.29032975,2.16426405,0.01
282.695,282.79,-0.0424152239,282.84,20.4719,282.69,282.7,67.29032975,2.16426405,0.01
282.695,282.815,-0.0419321924,282.87,4.0383434,282.69,282.7,67.29032975,2.16426405,0.01
282.79,282.815,-0.0344717872,282.87,4.0383434,282.76,282.82,0.38,0.015,0.06
282.79,282.815,-0.0291107206,282.82,0.015,282.76,282.82,0.38,0.015,0.06
282.79,282.815,-0.0253678476,282.87,16.5216566,282.76,282.82,0.38,0.015,0.06
