trade_px,update_type,trades_date_time,order_date_time,trade_volume,trade_volume_buys,trade_volume_sells,a1,b1,aq1,bq1,a2,b2,aq2,bq2,a3,b3,aq3,bq3,a4,b4,aq4,bq4,a5,b5,aq5,bq5,future_price_10
847.1,buy,2018-03-06T07:53:25.380Z,,0.0431,0.0431,0.0431,847.11,847.05,0.011212999999999999,1.73,847.12,847.04,0.023017,20.0,847.13,847.0,0.032458999999999995,6.55624782,847.14,846.88,0.014755,0.01,847.15,846.84,0.012393000000000001,0.01,847.1
847.1,buy,2018-03-06T07:53:25.380Z,,0.0431,0.0431,0.0431,847.11,847.05,0.011212999999999999,1.73,847.12,847.04,0.023017,20.0,847.13,847.0,0.032458999999999995,6.55624782,847.14,846.88,0.014755,0.01,847.15,846.84,0.012393000000000001,0.01,847.1
847.1,buy,2018-03-06T07:53:25.380Z,,0.0431,0.0431,0.0431,847.11,847.05,0.011212999999999999,1.73,847.12,847.04,0.023017,20.0,847.13,847.0,0.032458999999999995,6.55624782,847.14,846.88,0.014755,0.01,847.15,846.84,0.012393000000000001,0.01,847.1
847.1,buy,2018-03-06T07:53:25.380Z,,0.0431,0.0431,0.0431,847.11,847.04,0.011212999999999999,20.0,847.12,847.02,0.023017,1.54,847.13,847.0,0.032458999999999995,6.55624782,847.14,846.88,0.014755,0.01,847.15,846.84,0.01239,0.01,847.1
847.1,buy,2018-03-06T07:53:25.380Z,,0.0431,0.0431,0.0431,847.11,847.04,0.011212999999999999,20.0,847.12,847.03,0.023017,1.57,847.13,847.0,0.032458999999999995,6.55624782,847.14,846.88,0.019475,0.01,847.15,846.84,0.01239,0.01,847.1
847.1,buy,2018-03-06T07:53:25.380Z,,0.0431,0.0431,0.0431,847.11,847.04,0.011212999999999999,20.0,847.12,847.03,0.023017,1.57,847.14,847.0,0.019475,6.55624782,847.15,846.88,0.01239,0.01,847.16,846.84,0.01121,0.01,847.1
847.1,buy,2018-03-06T07:53:33.775Z,,4.10761576,4.10761576,4.10761576,847.11,847.04,0.011212999999999999,21.65,847.12,847.0,0.023017,6.55624782,847.13,846.88,0.011212,0.01,847.14,846.84,0.019475,0.01,847.15,846.78,0.01239,0.18440520000000002,847.1
847.1,buy,2018-03-06T07:53:33.775Z,,4.10761576,4.10761576,4.10761576,847.11,847.04,0.011212999999999999,21.65,847.12,847.0,0.023017,6.55624782,847.13,846.88,0.011212,0.01,847.14,846.84,0.019475,0.01,847.15,846.78,0.01239,0.18440520000000002,847.1
847.1,buy,2018-03-06T07:53:33.775Z,,4.10761576,4.10761576,4.10761576,847.11,847.04,0.011212999999999999,21.65,847.12,847.0,0.011211,6.55624782,847.13,846.88,0.011212,0.01,847.14,846.84,0.019475,0.01,847.15,846.78,0.01239,0.18440520000000002,847.1
847.1,buy,2018-03-06T07:53:33.775Z,,4.10761576,4.10761576,4.10761576,847.12,847.04,0.011211,21.65,847.13,847.0,0.011212,6.55624782,847.14,846.88,0.019475,0.01,847.15,846.84,0.01239,0.01,847.16,846.78,0.01121,0.18440520000000002,847.1
847.1,buy,2018-03-06T07:53:33.775Z,,4.10761576,4.10761576,4.10761576,847.11,847.04,0.011212,21.65,847.12,847.0,0.011211,6.55624782,847.13,846.88,0.011212,0.01,847.14,846.84,0.019475,0.01,847.15,846.78,0.01239,0.18440520000000002,847.1
847.1,buy,2018-03-06T07:53:33.775Z,,4.10761576,4.10761576,4.10761576,847.11,847.04,0.011212,20.0,847.12,847.0,0.011211,6.55624782,847.13,846.98,0.011212,1.19,847.14,846.88,0.019475,0.01,847.15,846.84,0.01239,0.01,847.1
847.1,buy,2018-03-06T07:53:33.775Z,,4.10761576,4.10761576,4.10761576,847.11,847.04,0.011212,20.0,847.12,847.0,0.011211,6.65624782,847.13,846.98,0.011212,1.19,847.14,846.88,0.019475,0.01,847.15,846.84,0.01239,0.01,847.1
847.1,buy,2018-03-06T07:53:33.775Z,,4.10761576,4.10761576,4.10761576,847.11,847.04,0.011212,20.0,847.12,847.0,0.011211,6.65624782,847.13,846.98,0.011212,1.19,847.14,846.88,0.019475,0.01,847.15,846.84,0.01239,0.01,847.1
