Price,PriceTarget,MACD,TradePrice,trade_volume,b1,a1,bq1,aq1,Spread
4158.845,4158.255,-1.33E-18,4158.84,0.01,4158.84,4158.85,0.09,27.24617961,0.01
4158.845,4158.255,-1.20E-18,4158.84,0.04,4158.84,4158.85,0.09,27.24617961,0.01
4158.845,4158.255,-1.08E-18,4158.84,0.01,4158.84,4158.85,0.09,27.24617961,0.01
4158.845,4158.255,-9.71E-19,4158.84,0.01,4158.84,4158.85,0.09,27.24617961,0.01
4158.845,4158.255,-8.74E-19,4158.25,0.00019295,4158.84,4158.85,0.09,27.24617961,0.01
4158.255,4158.255,-0.042358974,4158.25,0.00019295,4158.25,4158.26,0.11813963,9.48378873,0.01
4158.255,4158.255,-0.070827584,4158.25,0.00019295,4158.25,4158.26,0.11813963,9.51858146,0.01
4158.255,4156.955,-0.088512591,4158.25,0.00019295,4158.25,4158.26,0.11813963,16.52014496,0.01
4158.255,4156.955,-0.097928598,4158.26,2.39E-06,4158.25,4158.26,0.11813963,16.52014496,0.01
4158.255,4156.955,-0.101101847,4158.26,2.39E-06,4158.25,4158.26,0.11813963,18.24014257,0.01
4158.255,4156.955,-0.09965668,4158.25,0.11813963,4158.25,4158.26,0.11813963,18.24014257,0.01
4158.255,4156.955,-0.094887484,4156.95,0.00051012,4158.25,4158.26,0.11813963,18.24014257,0.01
4156.955,4156.955,-0.181151799,4156.95,0.00051012,4156.95,4156.96,0.12526988,8.89927865,0.01
4156.955,4153.945,-0.235314042,4156.95,0.12526988,4156.95,4156.96,0.12526988,8.89927865,0.01
4156.955,4153.945,-0.264843792,4156.02,0.01048,4156.95,4156.96,0.12526988,8.89927865,0.01
4156.955,4153.945,-0.2757604,4155.97,0.01,4156.95,4156.96,0.12526988,8.89927865,0.01
4156.955,4153.945,-0.272889763,4155.65,16.9,4156.95,4156.96,0.12526988,8.89927865,0.01
4156.955,4153.945,-0.260077964,4155.15,0.01,4156.95,4156.96,0.12526988,8.89927865,0.01
4153.945,4153.945,-0.45647136,4155.15,0.01,4153.94,4153.95,0.01,16.3258787,0.01
4153.945,4153.945,-0.577491796,4153.94,0.01,4153.94,4153.95,0.01,16.3258787,0.01
4153.945,4153.945,-0.640844901,4153.42,0.01,4153.94,4153.95,0.01,16.3258787,0.01
4153.945,4151.205,-0.660783314,4152.61,0.144,4153.94,4153.95,0.01,16.3258787,0.01
4153.945,4151.205,-0.648719561,4152.6,0.05,4153.94,4153.95,0.01,16.3258787,0.01
4153.945,4151.205,-0.613735838,4152.53,0.03,4153.94,4153.95,0.01,16.3258787,0.01
4153.945,4151.205,-0.563007473,4152.43,0.01,4153.94,4153.95,0.01,16.3258787,0.01
4153.945,4151.205,-0.502154196,4151.65,0.3003,4153.94,4153.95,0.01,16.3258787,0.01
4151.205,4151.205,-0.632249007,4151.65,0.3003,4151.2,4151.21,0.01585,7.54587854,0.01
4151.205,4151.205,-0.695397068,4151.65,0.3003,4151.2,4151.21,0.01585,8.54587854,0.01
4151.205,4151.205,-0.708531631,4151.65,0.3003,4151.2,4151.21,0.01585,16.34587854,0.01
4151.205,4151.205,-0.685173713,4151.21,2.40E-06,4151.2,4151.21,0.01585,16.34587854,0.01
4151.205,4151.205,-0.636048418,4151.21,2.40E-06,4151.2,4151.21,0.01585,16.34587614,0.01
