DATETIME,BTC_USD,BTC_USD_GDAX,RHsell, RHbuy
2018-04-14 14:07:38.455159,8099.66,8080.8,"$8,066.11","$8,098.45"
2018-04-14 14:07:46.053847,8099.5,8080.8,"$8,067.42","$8,099.77"
2018-04-14 14:07:53.737875,8100.61,8086.74,"$8,067.42","$8,099.77"
2018-04-14 14:08:00.910390,8100.61,8086.74,"$8,065.17","$8,097.51"
2018-04-14 14:08:09.231868,8100.84,8086.73,"$8,064.27","$8,096.60"
2018-04-14 14:08:16.159562,8099.46,8086.73,"$8,063.67","$8,096.00"
2018-04-14 14:08:24.616273,8100.86,8086.74,"$8,063.71","$8,097.96"
2018-04-14 14:08:31.552080,8100.86,8086.74,"$8,063.71","$8,097.96"
2018-04-14 14:08:39.581166,8099.89,8086.74,"$8,063.70","$8,097.96"
2018-04-14 14:08:46.540542,8099.53,8086.74,"$8,063.70","$8,097.96"
2018-04-14 14:08:53.777063,8099.53,8086.74,"$8,063.34","$8,097.96"
2018-04-14 14:09:01.835736,8098.13,8086.74,"$8,065.70","$8,097.96"
2018-04-14 14:09:09.078534,8098.14,8086.73,"$8,063.07","$8,095.40"
2018-04-14 14:09:17.304907,8099.8,8086.73,"$8,060.99","$8,093.31"
2018-04-14 14:09:24.780544,8098.42,8086.74,"$8,063.67","$8,096.00"
2018-04-14 14:09:33.038460,8098.42,8086.74,"$8,063.67","$8,096.00"
2018-04-14 14:09:40.479608,8098.65,8086.74,"$8,063.67","$8,096.00"
2018-04-14 14:09:49.090099,8099.99,8086.74,"$8,063.67","$8,096.00"
2018-04-14 14:09:56.608759,8100,8086.74,"$8,063.67","$8,096.00"
2018-04-14 14:10:03.543867,8100,8086.74,"$8,063.67","$8,096.00"
2018-04-14 14:10:10.467781,8099.48,8086.74,"$8,063.42","$8,095.75"
2018-04-14 14:10:17.358063,8099.45,8086.74,"$8,062.50","$8,091.72"
2018-04-14 14:10:24.219052,8099.45,8086.74,"$8,062.50","$8,091.72"
2018-04-14 14:10:31.124409,8099.47,8086.74,"$8,062.50","$8,091.72"
2018-04-14 14:10:37.940522,8100.07,8086.74,"$8,062.50","$8,092.23"
2018-04-14 14:10:44.853777,8100.07,8086.74,"$8,062.50","$8,092.23"
2018-04-14 14:10:51.722634,8100.06,8086.74,"$8,062.50","$8,092.23"
2018-04-14 14:10:58.539174,8098.69,8086.74,"$8,062.47","$8,091.19"
2018-04-14 14:11:05.385472,8096.65,8086.74,"$8,060.46","$8,088.73"
2018-04-14 14:11:12.225247,8096.65,8086.74,"$8,059.73","$8,088.00"
2018-04-14 14:11:19.045503,8094.27,8086.73,"$8,058.98","$8,087.25"
2018-04-14 14:11:25.984583,8087.14,8086.73,"$8,054.62","$8,082.87"
2018-04-14 14:11:32.816984,8087.14,8086.73,"$8,054.50","$8,082.75"
2018-04-14 14:11:39.721107,8091,8080.05,"$8,054.33","$8,082.58"
2018-04-14 14:11:46.941653,8085.8,8080.05,"$8,053.77","$8,082.01"
2018-04-14 14:11:53.775384,8085.8,8080.05,"$8,053.77","$8,082.01"
2018-04-14 14:12:00.670637,8086.79,8080.05,"$8,053.77","$8,082.01"
2018-04-14 14:12:07.549580,8086.59,8081.96,"$8,053.77","$8,082.01"
2018-04-14 14:12:14.392512,8086.59,8081.96,"$8,051.97","$8,080.21"
2018-04-14 14:12:21.248512,8085.86,8079.79,"$8,051.93","$8,080.17"
2018-04-14 14:12:28.169632,8082.75,8079.79,"$8,049.22","$8,079.16"
2018-04-14 14:12:35.043330,8082.75,8063.3,"$8,049.22","$8,079.16"
2018-04-14 14:12:41.884327,8084.35,8075.81,"$8,049.22","$8,079.15"
2018-04-14 14:12:48.789362,8084.11,8075.81,"$8,049.22","$8,078.15"
2018-04-14 14:12:55.649423,8084.11,8074.52,"$8,049.22","$8,077.65"
2018-04-14 14:13:02.569904,8084,8074.52,"$8,049.84","$8,078.07"
2018-04-14 14:13:09.526764,8083.52,8074.51,"$8,046.66","$8,074.88"
2018-04-14 14:13:16.401330,8082.42,8074.51,"$8,047.55","$8,075.78"
2018-04-14 14:13:23.298201,8082.42,8074.51,"$8,047.61","$8,075.83"
2018-04-14 14:13:30.146650,8083.39,8074.51,"$8,049.06","$8,077.29"
2018-04-14 14:13:37.067463,8082.93,8074.52,"$8,049.07","$8,077.30"
2018-04-14 14:13:43.997116,8082.93,8074.52,"$8,049.22","$8,077.65"
2018-04-14 14:13:50.905099,8084.42,8074.52,"$8,050.10","$8,078.33"
2018-04-14 14:13:57.819517,8086.13,8074.52,"$8,050.28","$8,079.16"
2018-04-14 14:14:04.816146,8086.13,8074.51,"$8,050.28","$8,081.16"
2018-04-14 14:14:11.737733,8087.2,8074.51,"$8,051.07","$8,083.35"
2018-04-14 14:14:18.641622,8087.47,8074.52,"$8,050.59","$8,082.86"
2018-04-14 14:14:25.501343,8087.47,8074.52,"$8,050.59","$8,082.86"
2018-04-14 14:14:32.457741,8087.87,8074.52,"$8,050.59","$8,082.86"
2018-04-14 14:14:39.407052,8087.83,8074.52,"$8,050.59","$8,082.86"
2018-04-14 14:14:46.432973,8087.83,8074.51,"$8,050.59","$8,082.86"
2018-04-14 14:14:53.381923,8088.99,8074.51,"$8,052.09","$8,084.37"
2018-04-14 14:15:00.268039,8087.9,8075,"$8,052.33","$8,084.61"
2018-04-14 14:15:07.178463,8088.74,8075,"$8,052.33","$8,084.61"
2018-04-14 14:15:14.062257,8088.74,8076,"$8,052.84","$8,085.13"
2018-04-14 14:15:21.003735,8087.48,8076,"$8,053.15","$8,085.44"
2018-04-14 14:15:28.011250,8087.43,8076.92,"$8,053.29","$8,085.57"
2018-04-14 14:15:34.905467,8087.43,8076.92,"$8,053.29","$8,085.57"
2018-04-14 14:15:41.845753,8087.83,8079.99,"$8,055.75","$8,086.17"
2018-04-14 14:15:48.661270,8088.79,8079.99,"$8,055.75","$8,086.17"
2018-04-14 14:15:55.572368,8088.79,8079.99,"$8,055.75","$8,086.17"
2018-04-14 14:16:02.555959,8088.83,8079.99,"$8,055.75","$8,084.17"
2018-04-14 14:16:09.454400,8088.03,8079.99,"$8,055.08","$8,083.33"
2018-04-14 14:16:16.440451,8088.03,8079.99,"$8,054.83","$8,083.08"
2018-04-14 14:16:23.289263,8087.61,8079.99,"$8,053.75","$8,081.99"
2018-04-14 14:16:30.135913,8086.3,8079.99,"$8,052.37","$8,080.62"
2018-04-14 14:16:37.032180,8086.3,8079.99,"$8,052.37","$8,080.62"
2018-04-14 14:16:43.901773,8084.32,8079.99,"$8,051.88","$8,080.12"
2018-04-14 14:16:50.804514,8083.75,8080,"$8,051.88","$8,080.12"
2018-04-14 14:16:57.817365,8083.56,8080,"$8,051.88","$8,080.12"
2018-04-14 14:17:04.708670,8083.56,8079.99,"$8,050.44","$8,078.67"
2018-04-14 14:17:11.615489,8083.34,8079.99,"$8,047.57","$8,075.79"
2018-04-14 14:17:18.390436,8080.03,8076.9,"$8,046.32","$8,074.54"
2018-04-14 14:17:25.212522,8080.03,8076.9,"$8,046.37","$8,074.59"
2018-04-14 14:17:32.023860,8079.85,8074.01,"$8,042.62","$8,074.14"
2018-04-14 14:17:38.871308,8079.94,8074.01,"$8,043.18","$8,074.14"
2018-04-14 14:17:45.699516,8079.94,8074,"$8,047.07","$8,075.05"
2018-04-14 14:17:52.639248,8081.13,8074,"$8,047.66","$8,077.15"
2018-04-14 14:17:59.422453,8081.12,8074.01,"$8,049.60","$8,077.83"
2018-04-14 14:18:06.283825,8081.12,8074.01,"$8,045.95","$8,077.85"
2018-04-14 14:18:13.114977,8080.21,8073,"$8,047.93","$8,079.16"
2018-04-14 14:18:19.987461,8079.26,8073,"$8,047.35","$8,079.16"
2018-04-14 14:18:26.864742,8079.26,8073,"$8,046.99","$8,079.16"
2018-04-14 14:18:33.844693,8080.8,8073,"$8,044.83","$8,077.08"
2018-04-14 14:18:40.807092,8081.27,8073,"$8,044.89","$8,077.14"
2018-04-14 14:18:47.837176,8081.27,8073,"$8,045.00","$8,077.25"
2018-04-14 14:18:54.761980,8080.82,8067.21,"$8,046.34","$8,078.60"
2018-04-14 14:19:02.419727,8079.41,8067.21,"$8,046.34","$8,078.60"
2018-04-14 14:19:09.452562,8079.95,8070,"$8,046.34","$8,078.60"
2018-04-14 14:19:16.389896,8079.95,8070,"$8,046.34","$8,078.60"
2018-04-14 14:19:23.395276,8080.55,8070,"$8,046.59","$8,078.85"
2018-04-14 14:19:30.316314,8079.53,8070,"$8,047.84","$8,080.10"
2018-04-14 14:19:37.247881,8079.53,8070,"$8,047.84","$8,080.10"
2018-04-14 14:19:44.145846,8079.99,8070,"$8,047.84","$8,080.10"
2018-04-14 14:19:51.104982,8079.96,8070,"$8,047.84","$8,080.10"
2018-04-14 14:19:57.975833,8079.96,8070,"$8,047.84","$8,080.10"
2018-04-14 14:20:05.645213,8079.94,8070,"$8,047.84","$8,080.10"
2018-04-14 14:20:12.504984,8080.39,8070,"$8,047.84","$8,080.10"
2018-04-14 14:20:19.391423,8080.52,8069.99,"$8,047.84","$8,080.10"
2018-04-14 14:20:26.325913,8080.52,8069.99,"$8,048.59","$8,080.86"
2018-04-14 14:20:33.270902,8080.91,8070,"$8,048.59","$8,080.86"
2018-04-14 14:20:40.120512,8081.01,8070,"$8,048.59","$8,080.86"
2018-04-14 14:20:47.091457,8081.01,8069.99,"$8,048.59","$8,080.86"
